creado_segundos,lead_scoring,f_medium_social,f_medium_referido,f_medium_unknown,f_medium_directo,f_tiene_telefono_2,f_gdpr_accept_int,f_len_empresa,medium,utm_source,utm_medium,utm_campaign,utm_content,utm_term,status,etapa_de_oportunidad_activa,propietario,origen,target_asiste
3545.1,0,0,0,1,0,0,0,3,unknown,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2979.7,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
507.9,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
254.9,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1068.2,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
1111.9,0,0,0,1,0,0,0,3,unknown,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
224.8,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
853.5,0,0,0,1,0,0,0,13,unknown,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1205.8,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
1395.2,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
2597.1,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2878.5,0,0,1,0,0,0,0,3,referido,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
478.4,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2353.2,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2386.5,0,1,0,0,0,0,0,13,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
2447.4,0,0,0,0,0,0,0,3,,,,,,,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
871.9,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,1
1829.3,0,0,0,1,0,0,0,3,unknown,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Registro,Uriel Gerónimo Velázquez,,0
2202.2,0,1,0,0,0,0,0,3,social,FB,CarreraAscenso,MasterData14-AGO25-V1,CarreraAscenso,SegmentoAnalistaFinanciero,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
3543.6,0,1,0,0,0,0,0,3,social,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoLibre,en oportunidad,Conversación Iniciada,Uriel Gerónimo Velázquez,,0
367.0,0,0,0,0,0,0,0,3,buscar,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1914.6,0,1,0,0,0,0,0,3,social,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoLibre,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
1618.8,0,0,1,0,0,0,0,3,referido,FB,dolorExcel,MasterData14-AGO25-V1,dolorExcel,SegmentoAnalistaFinanciero,en oportunidad,Confirmación a S1,Uriel Gerónimo Velázquez,,0
2195.2,0,0,0,1,0,0,0,3,unknown,FB,ROITiempo,MasterData14-AGO25-V1,ROITiempo,SegmentoAnalistaFinanciero,en oportunidad,Registro,Uriel Gerónimo Velázquez,,1
